"id","learning_rate","num_hidden","num_neurons","dropout_hidden","pccc","pccc_validate"
235,0.14,2,200,0.6,0.970893970893971,0.967098703888335
113,0.06,3,100,0.55,0.961538461538462,0.962113659022931
402,0.04,1,100,0.7,0.953222453222453,0.958125623130608
646,0.01,5,200,0.8,0.953222453222453,0.953140578265204
912,0.04,3,100,0.95,0.95010395010395,0.958125623130608
691,0.01,4,500,0.8,0.949064449064449,0.943170488534397
943,0.06,4,200,0.95,0.945945945945946,0.944167497507478
914,0.1,3,100,0.95,0.933471933471933,0.931206380857428
836,0.01,3,200,0.9,0.922037422037422,0.919242273180459
168,0.06,4,400,0.55,0.90956340956341,0.912263210368893
675,0.14,5,400,0.8,0.905405405405405,0.911266201395813
963,0.06,3,400,0.95,0.904365904365904,0.904287138584247
847,0.04,5,200,0.9,0.884615384615385,0.90827517447657
775,0.14,5,400,0.85,0.882536382536383,0.892323030907278
816,0.01,4,100,0.9,0.881496881496882,0.880358923230309
934,0.1,2,200,0.95,0.878378378378378,0.892323030907278
268,0.06,4,400,0.6,0.874220374220374,0.892323030907278
696,0.01,5,500,0.8,0.872141372141372,0.89531405782652
613,0.06,3,100,0.8,0.867983367983368,0.86839481555334
527,0.04,1,200,0.75,0.85966735966736,0.880358923230309
398,0.06,5,500,0.65,0.854469854469854,0.886340977068794
658,0.06,2,400,0.8,0.849272349272349,0.86839481555334
772,0.04,5,400,0.85,0.847193347193347,0.871385842472582
281,0.01,2,500,0.6,0.843035343035343,0.866400797607178
588,0.06,3,500,0.75,0.840956340956341,0.872382851445663
858,0.06,2,400,0.9,0.838877338877339,0.876370887337986
73,0.06,5,400,0.5,0.832640332640333,0.859421734795613
984,0.1,2,500,0.95,0.832640332640333,0.863409770687936
648,0.06,5,200,0.8,0.828482328482329,0.867397806580259
58,0.06,2,400,0.5,0.826403326403326,0.853439680957129
122,0.04,5,100,0.55,0.826403326403326,0.854436689930209
508,0.06,2,100,0.75,0.813929313929314,0.854436689930209
384,0.1,2,500,0.65,0.812889812889813,0.848454636091725
339,0.1,3,200,0.65,0.80977130977131,0.822532402791625
