"id","learning_rate","num_hidden","num_neurons","dropout_hidden","pccc","pccc_validate"
729,0.1,1,200,0.85,0.970443349753695,0.95959595959596
196,0.01,5,500,0.55,0.963875205254516,0.944444444444444
552,0.04,1,400,0.75,0.963875205254516,0.951178451178451
765,0.14,3,400,0.85,0.962233169129721,0.954545454545455
631,0.01,2,200,0.8,0.960591133004926,0.954545454545455
837,0.04,3,200,0.9,0.952380952380952,0.932659932659933
937,0.04,3,200,0.95,0.950738916256158,0.941077441077441
394,0.1,4,500,0.65,0.944170771756979,0.929292929292929
749,0.1,5,200,0.85,0.944170771756979,0.929292929292929
144,0.1,4,200,0.55,0.942528735632184,0.924242424242424
168,0.06,4,400,0.55,0.942528735632184,0.929292929292929
218,0.06,4,100,0.6,0.9376026272578,0.920875420875421
600,0.14,5,500,0.75,0.932676518883415,0.917508417508417
203,0.06,1,100,0.6,0.931034482758621,0.915824915824916
409,0.1,2,100,0.7,0.931034482758621,0.919191919191919
432,0.04,2,200,0.7,0.929392446633826,0.907407407407407
942,0.04,4,200,0.95,0.929392446633826,0.914141414141414
59,0.1,2,400,0.5,0.927750410509031,0.900673400673401
715,0.14,3,100,0.85,0.927750410509031,0.922558922558923
866,0.01,4,400,0.9,0.927750410509031,0.910774410774411
628,0.06,1,200,0.8,0.926108374384236,0.915824915824916
657,0.04,2,400,0.8,0.922824302134647,0.904040404040404
72,0.04,5,400,0.5,0.921182266009852,0.905723905723906
776,0.01,1,500,0.85,0.917898193760263,0.907407407407407
286,0.01,3,500,0.6,0.912972085385878,0.890572390572391
948,0.06,5,200,0.95,0.912972085385878,0.904040404040404
343,0.06,4,200,0.65,0.911330049261084,0.907407407407407
404,0.1,1,100,0.7,0.911330049261084,0.904040404040404
550,0.14,5,200,0.75,0.911330049261084,0.902356902356902
897,0.04,5,500,0.9,0.911330049261084,0.895622895622896
389,0.1,3,500,0.65,0.908045977011494,0.882154882154882
48,0.06,5,200,0.5,0.9064039408867,0.882154882154882
83,0.06,2,500,0.5,0.9064039408867,0.887205387205387
211,0.01,3,100,0.6,0.90311986863711,0.897306397306397
635,0.14,2,200,0.8,0.901477832512315,0.885521885521885
449,0.1,5,200,0.7,0.898193760262726,0.890572390572391
811,0.01,3,100,0.9,0.898193760262726,0.905723905723906
687,0.04,3,500,0.8,0.896551724137931,0.892255892255892
766,0.01,4,400,0.85,0.896551724137931,0.882154882154882
