"id","learning_rate","num_hidden","num_neurons","dropout_hidden","mse","mse_validate"
228,0.06,1,200,0.6,0.0325700244533065,0.0303983170028489
428,0.06,1,200,0.7,0.03278533244567,0.0305132504929867
677,0.04,1,500,0.8,0.0327955427178027,0.0305114366974568
978,0.06,1,500,0.95,0.0328228172899218,0.0306460730677694
127,0.04,1,200,0.55,0.032837792748019,0.0308644155150634
201,0.01,1,100,0.6,0.0328810515238266,0.0305920113629797
683,0.06,2,500,0.8,0.0328938989401037,0.0307188813886887
36,0.01,3,200,0.5,0.032896752148886,0.030729087035403
15,0.14,3,100,0.5,0.0328973531720706,0.0307202446375081
681,0.01,2,500,0.8,0.0328979117332889,0.0307745822002579
112,0.04,3,100,0.55,0.0328995237399339,0.0307383984792507
920,0.14,4,100,0.95,0.0328998689166423,0.0307349094977063
872,0.04,5,400,0.9,0.0328999200573635,0.0307366281479269
223,0.06,5,100,0.6,0.032903853833047,0.0307153720607101
536,0.01,3,200,0.75,0.0329038598586496,0.0307616465879013
61,0.01,3,400,0.5,0.0329068053268337,0.030774265606454
819,0.1,4,100,0.9,0.0329095137185875,0.0307783243922623
113,0.06,3,100,0.55,0.0329141119099859,0.0307041273688595
523,0.06,5,100,0.75,0.0329149194721597,0.0307924110469288
783,0.06,2,500,0.85,0.0329155400680216,0.0307824556217769
813,0.06,3,100,0.9,0.0329161781185614,0.0307048028620822
1000,0.14,5,500,0.95,0.0329186430857646,0.0308012209277976
344,0.1,4,200,0.65,0.0329201812014052,0.0307034220062204
993,0.06,4,500,0.95,0.0329220078913094,0.0308087628741161
728,0.06,1,200,0.85,0.0329244847336368,0.030658576170632
409,0.1,2,100,0.7,0.0329268577528604,0.0307897544386671
737,0.04,3,200,0.85,0.032927240821411,0.0308196944095788
171,0.01,5,400,0.55,0.0329273565686979,0.0308201432048523
997,0.04,5,500,0.95,0.0329307490718264,0.0308270599388431
525,0.14,5,100,0.75,0.0329315911895836,0.0307023246939128
623,0.06,5,100,0.8,0.0329333042666651,0.0307023539311884
923,0.06,5,100,0.95,0.0329339073170274,0.0307023744985617
967,0.04,4,400,0.95,0.0329339228963299,0.0307023751642522
818,0.06,4,100,0.9,0.032939227479628,0.0307027648486487
888,0.06,3,500,0.9,0.0329392765544966,0.0308436972067001
784,0.1,2,500,0.85,0.0329458494778446,0.0306992782979604
720,0.14,4,100,0.85,0.0329490273442296,0.0307042892198622
350,0.14,5,200,0.65,0.0329497813716226,0.0308630014522556
732,0.04,2,200,0.85,0.0329505851754712,0.030705096881922
887,0.04,3,500,0.9,0.0329576810384285,0.0307063368448973
987,0.04,3,500,0.95,0.0329632146961945,0.0307078539636237
858,0.06,2,400,0.9,0.032965980589424,0.0308883795129532
339,0.1,3,200,0.65,0.0329705698484536,0.030709674363316
438,0.06,3,200,0.7,0.0329736225417275,0.0309042156048427
609,0.1,2,100,0.8,0.0329737038970159,0.0307107443466957
408,0.06,2,100,0.7,0.0329760753216173,0.0309052153256532
