"id","learning_rate","num_hidden","num_neurons","dropout_hidden","mse","mse_validate"
353,0.06,1,400,0.65,0.0202151772281378,0.0194471449294504
4,0.1,1,100,0.5,0.0256726284703572,0.0237714430885742
429,0.1,1,200,0.7,0.0259604388729753,0.0238715343543071
227,0.04,1,200,0.6,0.0268001359672036,0.0245157267177272
352,0.04,1,400,0.65,0.0273260907877254,0.0255142342592087
203,0.06,1,100,0.6,0.0275869188513991,0.0255810410854634
527,0.04,1,200,0.75,0.0278627774864778,0.0255153056041795
1,0.01,1,100,0.5,0.0279406486744607,0.0258831302269095
627,0.04,1,200,0.8,0.0282299768645418,0.0258402723997094
405,0.14,1,100,0.7,0.028234174549059,0.0260611180396166
677,0.04,1,500,0.8,0.0282684146169263,0.0260776488612679
103,0.06,1,100,0.55,0.0284078684796166,0.0262684409550801
403,0.06,1,100,0.7,0.0284183523297212,0.0264762853461445
502,0.04,1,100,0.75,0.0284363368578688,0.0261371930218648
505,0.14,1,100,0.75,0.0285440125776884,0.0263305875582515
2,0.04,1,100,0.5,0.0285467523106908,0.0261695006735425
753,0.06,1,400,0.85,0.028867707995496,0.0263256488077365
827,0.04,1,200,0.9,0.0289127624647331,0.0264803568889584
878,0.06,1,500,0.9,0.0289908389249908,0.0265831127037284
954,0.1,1,400,0.95,0.0289913802687525,0.0265753706082817
602,0.04,1,100,0.8,0.0290036035223825,0.0267643487103443
202,0.04,1,100,0.6,0.0290142403899179,0.0265638963442444
651,0.01,1,400,0.8,0.0290244904234188,0.0266054245604622
979,0.1,1,500,0.95,0.0290431527098097,0.0266624030802023
104,0.1,1,100,0.55,0.0290440847004652,0.0268672773746581
326,0.01,1,200,0.65,0.0290685819844496,0.0269258977300102
802,0.04,1,100,0.9,0.029070004754569,0.0266280432088595
952,0.04,1,400,0.95,0.029083026725073,0.0268287319121781
503,0.06,1,100,0.75,0.0291076665933741,0.026747465593686
804,0.1,1,100,0.9,0.029129048915871,0.0268424186915633
209,0.1,2,100,0.6,0.0291653730763803,0.0267805594129462
151,0.01,1,400,0.55,0.0292026076478286,0.0272565603851772
