"id","learning_rate","num_hidden","num_neurons","dropout_hidden","pccc","pccc_validate"
531,0.01,2,200,0.75,0.630769230769231,0.723404255319149
677,0.04,1,500,0.8,0.630769230769231,0.718085106382979
694,0.1,4,500,0.8,0.630769230769231,0.723404255319149
733,0.06,2,200,0.85,0.630769230769231,0.632978723404255
739,0.1,3,200,0.85,0.630769230769231,0.723404255319149
750,0.14,5,200,0.85,0.630769230769231,0.712765957446808
815,0.14,3,100,0.9,0.630769230769231,0.712765957446808
832,0.04,2,200,0.9,0.630769230769231,0.712765957446808
840,0.14,3,200,0.9,0.630769230769231,0.723404255319149
861,0.01,3,400,0.9,0.630769230769231,0.718085106382979
905,0.14,1,100,0.95,0.630769230769231,0.718085106382979
917,0.04,4,100,0.95,0.630769230769231,0.723404255319149
921,0.01,5,100,0.95,0.630769230769231,0.718085106382979
39,0.1,3,200,0.5,0.625641025641026,0.707446808510638
346,0.01,5,200,0.65,0.625641025641026,0.712765957446808
474,0.1,5,400,0.7,0.625641025641026,0.712765957446808
716,0.01,4,100,0.85,0.625641025641026,0.712765957446808
780,0.14,1,500,0.85,0.625641025641026,0.718085106382979
873,0.06,5,400,0.9,0.625641025641026,0.712765957446808
76,0.01,1,500,0.5,0.620512820512821,0.712765957446808
125,0.14,5,100,0.55,0.620512820512821,0.617021276595745
192,0.04,4,500,0.55,0.620512820512821,0.712765957446808
205,0.14,1,100,0.6,0.620512820512821,0.712765957446808
501,0.01,1,100,0.75,0.620512820512821,0.718085106382979
509,0.1,2,100,0.75,0.620512820512821,0.707446808510638
575,0.14,5,400,0.75,0.620512820512821,0.712765957446808
585,0.14,2,500,0.75,0.620512820512821,0.702127659574468
613,0.06,3,100,0.8,0.620512820512821,0.712765957446808
639,0.1,3,200,0.8,0.620512820512821,0.712765957446808
727,0.04,1,200,0.85,0.620512820512821,0.702127659574468
760,0.14,2,400,0.85,0.620512820512821,0.718085106382979
820,0.14,4,100,0.9,0.620512820512821,0.696808510638298
886,0.01,3,500,0.9,0.620512820512821,0.569148936170213
116,0.01,4,100,0.55,0.615384615384615,0.707446808510638
264,0.1,3,400,0.6,0.615384615384615,0.723404255319149
296,0.01,5,500,0.6,0.615384615384615,0.707446808510638
354,0.1,1,400,0.65,0.615384615384615,0.680851063829787
362,0.04,3,400,0.65,0.615384615384615,0.622340425531915
456,0.01,2,400,0.7,0.615384615384615,0.702127659574468
529,0.1,1,200,0.75,0.615384615384615,0.707446808510638
668,0.06,4,400,0.8,0.615384615384615,0.707446808510638
808,0.06,2,100,0.9,0.615384615384615,0.707446808510638
842,0.04,4,200,0.9,0.615384615384615,0.696808510638298
927,0.04,1,200,0.95,0.615384615384615,0.707446808510638
