"id","learning_rate","num_hidden","num_neurons","dropout_hidden","mse","mse_validate"
5,0.14,1,100,0.5,0.0412239880573208,0.0459648718505804
129,0.1,1,200,0.55,0.0494465459149427,0.0521068348113563
405,0.14,1,100,0.7,0.053728674377904,0.057394258220868
51,0.01,1,400,0.5,0.0537300572805662,0.0579375330185911
880,0.14,1,500,0.9,0.0540942722176473,0.0579886748388211
104,0.1,1,100,0.55,0.0544477217025648,0.0582653009030603
103,0.06,1,100,0.55,0.0545263986440244,0.0584052437459658
228,0.06,1,200,0.6,0.0550711064221614,0.0597752636297412
677,0.04,1,500,0.8,0.0560196126330863,0.0601393116746112
528,0.06,1,200,0.75,0.0560626055393773,0.0614420296864375
653,0.06,1,400,0.8,0.056420418575685,0.0594493329804576
376,0.01,1,500,0.65,0.0576346601615578,0.0617701991960858
202,0.04,1,100,0.6,0.0576597821429967,0.063189550779249
1,0.01,1,100,0.5,0.0579295560497839,0.0620912893401562
730,0.14,1,200,0.85,0.0579484109721336,0.0625600404525687
778,0.06,1,500,0.85,0.0580721425219411,0.0617976051518328
303,0.06,1,100,0.65,0.0582406324945049,0.0641469563922405
605,0.14,1,100,0.8,0.0585935426401599,0.0639454752441451
752,0.04,1,400,0.85,0.058593873609857,0.0624190682248669
676,0.01,1,500,0.8,0.058644106143313,0.0631459403536877
503,0.06,1,100,0.75,0.0586523360998943,0.0627957068385208
403,0.06,1,100,0.7,0.0589038426623899,0.0634537378275063
627,0.04,1,200,0.8,0.0590314812025463,0.0629620901205461
4,0.1,1,100,0.5,0.0591342623916138,0.0670677286351914
829,0.1,1,200,0.9,0.0592241642349425,0.0648266679715623
651,0.01,1,400,0.8,0.0592413089429591,0.0661763787819012
203,0.06,1,100,0.6,0.0592904508774041,0.0659219889453632
604,0.1,1,100,0.8,0.0593345835118863,0.0636436762344403
151,0.01,1,400,0.55,0.0593938056315886,0.0633058260669595
56,0.01,2,400,0.5,0.0595966348608629,0.0651212023442211
628,0.06,1,200,0.8,0.0597538390787926,0.0641153579995215
728,0.06,1,200,0.85,0.0598175299844063,0.0641442080123606
402,0.04,1,100,0.7,0.0598754352368382,0.0644275820349997
952,0.04,1,400,0.95,0.0598814109613696,0.0638051608196517
827,0.04,1,200,0.9,0.059882487723862,0.0658985104918313
930,0.14,1,200,0.95,0.0599287226630591,0.0647300484488522
928,0.06,1,200,0.95,0.0599623921863619,0.0657355165531594
902,0.04,1,100,0.95,0.059971181904876,0.0652909656792163
108,0.06,2,100,0.55,0.0599717422978733,0.0646128052260136
531,0.01,2,200,0.75,0.0599923660563145,0.0653114912089382
907,0.04,2,100,0.95,0.0600716981559935,0.0652194178078374
116,0.01,4,100,0.55,0.0600720582871015,0.065242010847679
414,0.1,3,100,0.7,0.060072213887882,0.0652346498510979
913,0.06,3,100,0.95,0.0600722602323019,0.0652369895339478
813,0.06,3,100,0.9,0.0600722807877063,0.0652441150045389
908,0.06,2,100,0.95,0.060072434651277,0.065278881896831
443,0.06,4,200,0.7,0.0600724368824775,0.0652613345735259
467,0.04,4,400,0.7,0.0600725149378938,0.0652244956264727
822,0.04,5,100,0.9,0.0600725412767167,0.0652197387677349
947,0.04,5,200,0.95,0.0600730475096346,0.065280359305085
833,0.06,2,200,0.9,0.0600735689696372,0.0651903235460037
524,0.1,5,100,0.75,0.0600737492362853,0.0652950756440959
21,0.01,5,100,0.5,0.0600740802768562,0.0651860877806428
818,0.06,4,100,0.9,0.0600764358208639,0.0651600874068582
15,0.14,3,100,0.5,0.0600769376339254,0.0651327787657459
18,0.06,4,100,0.5,0.0600776551204448,0.0651489213853985
738,0.06,3,200,0.85,0.0600776580578508,0.0653470795843443
121,0.01,5,100,0.55,0.0600806245265249,0.0653720711060106
974,0.1,5,400,0.95,0.0600818209559271,0.0651213227428973
441,0.01,4,200,0.7,0.0600825824193586,0.0653855986020094
817,0.04,4,100,0.9,0.0600829616995254,0.0651149189219778
612,0.04,3,100,0.8,0.0600831489129283,0.0653948044656781
983,0.06,2,500,0.95,0.0600840636462633,0.0651278917585889
791,0.01,4,500,0.85,0.0600841356333035,0.0651100688151993
692,0.04,4,500,0.8,0.0600842245678286,0.0651112258818281
318,0.06,4,100,0.65,0.0600856097663978,0.0651011301785512
950,0.14,5,200,0.95,0.0600858575588784,0.0651002872658793
949,0.1,5,200,0.95,0.0600864227234218,0.0650976582103745
336,0.01,3,200,0.65,0.0600865362939054,0.0653765799261744
361,0.01,3,400,0.65,0.060087657666988,0.0651817309326917
803,0.06,1,100,0.9,0.0600881527298294,0.0644613219506011
858,0.06,2,400,0.9,0.0600890716736391,0.065499860880631
416,0.01,4,100,0.7,0.0600896265108401,0.0654343852880924
919,0.1,4,100,0.95,0.0600896879822656,0.0654353445945245
622,0.04,5,100,0.8,0.0600952820264807,0.0650629439009116
413,0.06,3,100,0.7,0.0600958691562373,0.0654738343095857
767,0.04,4,400,0.85,0.0600994737403872,0.0654889110686729
366,0.01,4,400,0.65,0.0601008345282548,0.065046234448429
883,0.06,2,500,0.9,0.0601098148848879,0.0652179868055256
922,0.04,5,100,0.95,0.0601112535086185,0.0650179957702445
766,0.01,4,400,0.85,0.0601120754048098,0.0650164983519688
412,0.04,3,100,0.7,0.0601129620886468,0.0655427158277685
917,0.04,4,100,0.95,0.0601142173211245,0.0650111473784338
417,0.04,4,100,0.7,0.0601143252487522,0.0655571397701219
331,0.01,2,200,0.65,0.0601157795221773,0.0652193983102849
516,0.01,4,100,0.75,0.0601173179168832,0.0650042268215354
912,0.04,3,100,0.95,0.0601270855054644,0.0649849547317755
957,0.04,2,400,0.95,0.0601273106079017,0.065617373109175
962,0.04,3,400,0.95,0.0601326566647428,0.0649750065017572
406,0.01,2,100,0.7,0.0601338742614876,0.0651548338276824
886,0.01,3,500,0.9,0.0601368001436268,0.0649672666301785
546,0.01,5,200,0.75,0.0601368144212838,0.0649681618769087
631,0.01,2,200,0.8,0.0601439513035715,0.0649641514744509
903,0.06,1,100,0.95,0.0601457795252491,0.0660989270008699
856,0.01,2,400,0.9,0.0601460550500018,0.0649788664563657
141,0.01,4,200,0.55,0.0601513626079723,0.0649486756475107
807,0.04,2,100,0.9,0.0601536091438179,0.0657085679204819
656,0.01,2,400,0.8,0.0601558324295781,0.0658162565958569
995,0.14,4,500,0.95,0.0601560917015004,0.065711543892141
639,0.1,3,200,0.8,0.0601663361618574,0.0657422288239371
216,0.01,4,100,0.6,0.0601728087576018,0.0657649910770063
476,0.01,1,500,0.7,0.0601792820899337,0.0621375045314472
462,0.04,3,400,0.7,0.0601874705160783,0.0649289494159725
423,0.06,5,100,0.7,0.0601928833828767,0.0658252874103217
959,0.1,2,400,0.95,0.0601974507830611,0.0658343598173018
724,0.1,5,100,0.85,0.0601988674818763,0.0658426052531415
411,0.01,3,100,0.7,0.0601992165901874,0.0648921368621281
987,0.04,3,500,0.95,0.0601995152365443,0.0648938446134664
422,0.04,5,100,0.7,0.0602011288666859,0.0658490813850958
646,0.01,5,200,0.8,0.0602016973755853,0.0658507042576507
904,0.1,1,100,0.95,0.0602038486407603,0.0659697553459055
718,0.06,4,100,0.85,0.0602060594757992,0.0648886111065788
510,0.14,2,100,0.75,0.0602081527504242,0.0658473617858958
156,0.01,2,400,0.55,0.0602176650981731,0.0656654797445598
924,0.1,5,100,0.95,0.0602181204724239,0.0658966185652526
618,0.06,4,100,0.8,0.0602319628969986,0.0659340609665266
719,0.1,4,100,0.85,0.0602375776790319,0.065948939860389
944,0.1,4,200,0.95,0.0602424571236631,0.0648627266418668
591,0.01,4,500,0.75,0.0602528619347589,0.0648548314629729
937,0.04,3,200,0.95,0.0602536690941676,0.0648561288758386
802,0.04,1,100,0.9,0.0602623930106713,0.0661623806277729
796,0.01,5,500,0.85,0.0602678850760854,0.064848539141832
522,0.04,5,100,0.75,0.0602707973612069,0.0660340848671755
11,0.01,3,100,0.5,0.060280739616895,0.0660429881675245
942,0.04,4,200,0.95,0.0602870649362979,0.0648395105644061
231,0.01,2,200,0.6,0.0602906087732822,0.0650113886031288
747,0.04,5,200,0.85,0.0602928378932408,0.0648370434597869
722,0.04,5,100,0.85,0.0602947806216664,0.0660928929854415
217,0.04,4,100,0.6,0.0602970961396014,0.0660976881761661
281,0.01,2,500,0.6,0.0603016489932475,0.0659920497107714
842,0.04,4,200,0.9,0.0603054378827378,0.0661184291857313
923,0.06,5,100,0.95,0.06031803380759,0.064827477592478
832,0.04,2,200,0.9,0.0603204930389853,0.0648141798954245
401,0.01,1,100,0.7,0.0603302778341509,0.0644446273080833
905,0.14,1,100,0.95,0.0603333424407534,0.0645089982033719
566,0.01,4,400,0.75,0.0603358935924735,0.0661886643985353
609,0.1,2,100,0.8,0.0603369830573397,0.0661753099482879
201,0.01,1,100,0.6,0.0603503230138437,0.0639600224684259
848,0.06,5,200,0.9,0.0603596452261969,0.0662434854051318
581,0.01,2,500,0.75,0.0603631707254315,0.0647476620178193
316,0.01,4,100,0.65,0.0603669077275225,0.0662597022021959
918,0.06,4,100,0.95,0.0603718753804978,0.0662707509318454
666,0.01,4,400,0.8,0.0603783721727101,0.0648109422905086
