"id","learning_rate","num_hidden","num_neurons","dropout_hidden","pccc","pccc_validate"
349,0.1,5,200,0.65,0.962776659959759,0.972972972972973
385,0.14,2,500,0.65,0.962776659959759,0.972972972972973
916,0.01,4,100,0.95,0.962776659959759,0.973973973973974
976,0.01,1,500,0.95,0.962776659959759,0.972972972972973
992,0.04,4,500,0.95,0.962776659959759,0.973973973973974
7,0.04,2,100,0.5,0.958752515090543,0.956956956956957
137,0.04,3,200,0.55,0.955734406438632,0.947947947947948
606,0.01,2,100,0.8,0.951710261569417,0.946946946946947
471,0.01,5,400,0.7,0.948692152917505,0.943943943943944
723,0.06,5,100,0.85,0.938631790744467,0.913913913913914
69,0.1,4,400,0.5,0.934607645875251,0.893893893893894
625,0.14,5,100,0.8,0.928571428571429,0.910910910910911
90,0.14,3,500,0.5,0.924547283702213,0.892892892892893
762,0.04,3,400,0.85,0.91851106639839,0.93993993993994
591,0.01,4,500,0.75,0.909456740442656,0.922922922922923
663,0.06,3,400,0.8,0.908450704225352,0.917917917917918
474,0.1,5,400,0.7,0.886317907444668,0.883883883883884
667,0.04,4,400,0.8,0.886317907444668,0.864864864864865
603,0.06,1,100,0.8,0.881287726358149,0.858858858858859
199,0.1,5,500,0.55,0.880281690140845,0.854854854854855
958,0.06,2,400,0.95,0.878269617706237,0.854854854854855
317,0.04,4,100,0.65,0.871227364185111,0.845845845845846
975,0.14,5,400,0.95,0.870221327967807,0.842842842842843
495,0.14,4,500,0.7,0.858148893360161,0.847847847847848
211,0.01,3,100,0.6,0.852112676056338,0.825825825825826
117,0.04,4,100,0.55,0.85010060362173,0.824824824824825
565,0.14,3,400,0.75,0.847082494969819,0.826826826826827
288,0.06,3,500,0.6,0.845070422535211,0.824824824824825
563,0.06,3,400,0.75,0.843058350100604,0.823823823823824
489,0.1,3,500,0.7,0.841046277665996,0.820820820820821
112,0.04,3,100,0.55,0.840040241448692,0.817817817817818
2,0.04,1,100,0.5,0.839034205231388,0.816816816816817
3,0.06,1,100,0.5,0.839034205231388,0.816816816816817
13,0.06,3,100,0.5,0.839034205231388,0.816816816816817
18,0.06,4,100,0.5,0.839034205231388,0.816816816816817
27,0.04,1,200,0.5,0.839034205231388,0.816816816816817
52,0.04,1,400,0.5,0.839034205231388,0.816816816816817
54,0.1,1,400,0.5,0.839034205231388,0.816816816816817
84,0.1,2,500,0.5,0.839034205231388,0.816816816816817
88,0.06,3,500,0.5,0.839034205231388,0.816816816816817
101,0.01,1,100,0.55,0.839034205231388,0.816816816816817
114,0.1,3,100,0.55,0.839034205231388,0.816816816816817
123,0.06,5,100,0.55,0.839034205231388,0.816816816816817
151,0.01,1,400,0.55,0.839034205231388,0.816816816816817
177,0.04,1,500,0.55,0.839034205231388,0.816816816816817
185,0.14,2,500,0.55,0.839034205231388,0.816816816816817
187,0.04,3,500,0.55,0.839034205231388,0.816816816816817
192,0.04,4,500,0.55,0.839034205231388,0.816816816816817
194,0.1,4,500,0.55,0.839034205231388,0.815815815815816
197,0.04,5,500,0.55,0.839034205231388,0.816816816816817
201,0.01,1,100,0.6,0.839034205231388,0.816816816816817
202,0.04,1,100,0.6,0.839034205231388,0.816816816816817
203,0.06,1,100,0.6,0.839034205231388,0.816816816816817
226,0.01,1,200,0.6,0.839034205231388,0.816816816816817
234,0.1,2,200,0.6,0.839034205231388,0.816816816816817
259,0.1,2,400,0.6,0.839034205231388,0.816816816816817
277,0.04,1,500,0.6,0.839034205231388,0.816816816816817
279,0.1,1,500,0.6,0.839034205231388,0.816816816816817
285,0.14,2,500,0.6,0.839034205231388,0.816816816816817
302,0.04,1,100,0.65,0.839034205231388,0.816816816816817
306,0.01,2,100,0.65,0.839034205231388,0.816816816816817
311,0.01,3,100,0.65,0.839034205231388,0.816816816816817
318,0.06,4,100,0.65,0.839034205231388,0.816816816816817
328,0.06,1,200,0.65,0.839034205231388,0.816816816816817
330,0.14,1,200,0.65,0.839034205231388,0.816816816816817
333,0.06,2,200,0.65,0.839034205231388,0.815815815815816
355,0.14,1,400,0.65,0.839034205231388,0.816816816816817
362,0.04,3,400,0.65,0.839034205231388,0.816816816816817
369,0.1,4,400,0.65,0.839034205231388,0.822822822822823
378,0.06,1,500,0.65,0.839034205231388,0.816816816816817
383,0.06,2,500,0.65,0.839034205231388,0.816816816816817
395,0.14,4,500,0.65,0.839034205231388,0.816816816816817
398,0.06,5,500,0.65,0.839034205231388,0.816816816816817
409,0.1,2,100,0.7,0.839034205231388,0.816816816816817
427,0.04,1,200,0.7,0.839034205231388,0.816816816816817
435,0.14,2,200,0.7,0.839034205231388,0.816816816816817
466,0.01,4,400,0.7,0.839034205231388,0.816816816816817
484,0.1,2,500,0.7,0.839034205231388,0.816816816816817
492,0.04,4,500,0.7,0.839034205231388,0.816816816816817
500,0.14,5,500,0.7,0.839034205231388,0.816816816816817
502,0.04,1,100,0.75,0.839034205231388,0.816816816816817
508,0.06,2,100,0.75,0.839034205231388,0.816816816816817
