"id","learning_rate","num_hidden","num_neurons","dropout_hidden","pccc","pccc_validate"
278,0.06,1,500,0.6,0.997802197802198,0.997987927565392
285,0.14,2,500,0.6,0.997802197802198,0.997987927565392
288,0.06,3,500,0.6,0.997802197802198,0.997987927565392
298,0.06,5,500,0.6,0.997802197802198,0.997987927565392
306,0.01,2,100,0.65,0.997802197802198,0.997987927565392
353,0.06,1,400,0.65,0.997802197802198,0.997987927565392
421,0.01,5,100,0.7,0.997802197802198,0.997987927565392
441,0.01,4,200,0.7,0.997802197802198,0.997987927565392
445,0.14,4,200,0.7,0.997802197802198,0.997987927565392
446,0.01,5,200,0.7,0.997802197802198,0.997987927565392
450,0.14,5,200,0.7,0.997802197802198,0.997987927565392
457,0.04,2,400,0.7,0.997802197802198,0.997987927565392
458,0.06,2,400,0.7,0.997802197802198,0.997987927565392
483,0.06,2,500,0.7,0.997802197802198,0.997987927565392
505,0.14,1,100,0.75,0.997802197802198,0.997987927565392
530,0.14,1,200,0.75,0.997802197802198,0.997987927565392
531,0.01,2,200,0.75,0.997802197802198,0.997987927565392
534,0.1,2,200,0.75,0.997802197802198,0.997987927565392
543,0.06,4,200,0.75,0.997802197802198,0.997987927565392
565,0.14,3,400,0.75,0.997802197802198,0.997987927565392
567,0.04,4,400,0.75,0.997802197802198,1
570,0.14,4,400,0.75,0.997802197802198,0.997987927565392
572,0.04,5,400,0.75,0.997802197802198,1
599,0.1,5,500,0.75,0.997802197802198,0.997987927565392
602,0.04,1,100,0.8,0.997802197802198,0.997987927565392
634,0.1,2,200,0.8,0.997802197802198,0.997987927565392
672,0.04,5,400,0.8,0.997802197802198,0.997987927565392
673,0.06,5,400,0.8,0.997802197802198,0.997987927565392
678,0.06,1,500,0.8,0.997802197802198,0.997987927565392
685,0.14,2,500,0.8,0.997802197802198,0.997987927565392
706,0.01,2,100,0.85,0.997802197802198,0.997987927565392
707,0.04,2,100,0.85,0.997802197802198,0.997987927565392
716,0.01,4,100,0.85,0.997802197802198,0.997987927565392
729,0.1,1,200,0.85,0.997802197802198,1
766,0.01,4,400,0.85,0.997802197802198,0.997987927565392
768,0.06,4,400,0.85,0.997802197802198,0.997987927565392
797,0.04,5,500,0.85,0.997802197802198,0.997987927565392
804,0.1,1,100,0.9,0.997802197802198,0.997987927565392
813,0.06,3,100,0.9,0.997802197802198,0.997987927565392
817,0.04,4,100,0.9,0.997802197802198,1
819,0.1,4,100,0.9,0.997802197802198,0.997987927565392
820,0.14,4,100,0.9,0.997802197802198,0.997987927565392
824,0.1,5,100,0.9,0.997802197802198,0.997987927565392
835,0.14,2,200,0.9,0.997802197802198,0.997987927565392
859,0.1,2,400,0.9,0.997802197802198,0.997987927565392
870,0.14,4,400,0.9,0.997802197802198,0.997987927565392
875,0.14,5,400,0.9,0.997802197802198,0.997987927565392
880,0.14,1,500,0.9,0.997802197802198,0.997987927565392
906,0.01,2,100,0.95,0.997802197802198,0.997987927565392
924,0.1,5,100,0.95,0.997802197802198,0.997987927565392
930,0.14,1,200,0.95,0.997802197802198,0.997987927565392
946,0.01,5,200,0.95,0.997802197802198,0.997987927565392
954,0.1,1,400,0.95,0.997802197802198,0.997987927565392
990,0.14,3,500,0.95,0.997802197802198,0.997987927565392
997,0.04,5,500,0.95,0.997802197802198,0.997987927565392
8,0.06,2,100,0.5,0.996703296703297,0.997987927565392
25,0.14,5,100,0.5,0.996703296703297,0.993963782696177
28,0.06,1,200,0.5,0.996703296703297,0.993963782696177
32,0.04,2,200,0.5,0.996703296703297,0.993963782696177
34,0.1,2,200,0.5,0.996703296703297,0.996981891348089
79,0.1,1,500,0.5,0.996703296703297,0.993963782696177
95,0.14,4,500,0.5,0.996703296703297,0.993963782696177
109,0.1,2,100,0.55,0.996703296703297,0.993963782696177
128,0.06,1,200,0.55,0.996703296703297,0.996981891348089
129,0.1,1,200,0.55,0.996703296703297,0.994969818913481
154,0.1,1,400,0.55,0.996703296703297,0.993963782696177
179,0.1,1,500,0.55,0.996703296703297,0.993963782696177
205,0.14,1,100,0.6,0.996703296703297,0.994969818913481
276,0.01,1,500,0.6,0.996703296703297,0.993963782696177
294,0.1,4,500,0.6,0.996703296703297,0.996981891348089
295,0.14,4,500,0.6,0.996703296703297,0.993963782696177
304,0.1,1,100,0.65,0.996703296703297,0.997987927565392
316,0.01,4,100,0.65,0.996703296703297,0.993963782696177
320,0.14,4,100,0.65,0.996703296703297,0.996981891348089
328,0.06,1,200,0.65,0.996703296703297,0.993963782696177
354,0.1,1,400,0.65,0.996703296703297,0.996981891348089
359,0.1,2,400,0.65,0.996703296703297,0.996981891348089
379,0.1,1,500,0.65,0.996703296703297,0.993963782696177
388,0.06,3,500,0.65,0.996703296703297,0.993963782696177
392,0.04,4,500,0.65,0.996703296703297,0.993963782696177
449,0.1,5,200,0.7,0.996703296703297,0.997987927565392
454,0.1,1,400,0.7,0.996703296703297,0.996981891348089
455,0.14,1,400,0.7,0.996703296703297,0.996981891348089
460,0.14,2,400,0.7,0.996703296703297,0.993963782696177
482,0.04,2,500,0.7,0.996703296703297,0.993963782696177
493,0.06,4,500,0.7,0.996703296703297,0.995975855130785
501,0.01,1,100,0.75,0.996703296703297,1
528,0.06,1,200,0.75,0.996703296703297,0.996981891348089
535,0.14,2,200,0.75,0.996703296703297,0.993963782696177
560,0.14,2,400,0.75,0.996703296703297,0.996981891348089
743,0.06,4,200,0.85,0.996703296703297,0.996981891348089
780,0.14,1,500,0.85,0.996703296703297,0.993963782696177
792,0.04,4,500,0.85,0.996703296703297,0.993963782696177
841,0.01,4,200,0.9,0.996703296703297,0.997987927565392
853,0.06,1,400,0.9,0.996703296703297,0.996981891348089
862,0.04,3,400,0.9,0.996703296703297,0.996981891348089
897,0.04,5,500,0.9,0.996703296703297,0.993963782696177
936,0.01,3,200,0.95,0.996703296703297,0.993963782696177
939,0.1,3,200,0.95,0.996703296703297,0.993963782696177
948,0.06,5,200,0.95,0.996703296703297,0.997987927565392
968,0.06,4,400,0.95,0.996703296703297,0.997987927565392
979,0.1,1,500,0.95,0.996703296703297,0.997987927565392
1,0.01,1,100,0.5,0.995604395604396,0.992957746478873
29,0.1,1,200,0.5,0.995604395604396,0.992957746478873
39,0.1,3,200,0.5,0.995604395604396,0.992957746478873
54,0.1,1,400,0.5,0.995604395604396,0.991951710261569
60,0.14,2,400,0.5,0.995604395604396,0.992957746478873
65,0.14,3,400,0.5,0.995604395604396,0.991951710261569
90,0.14,3,500,0.5,0.995604395604396,0.992957746478873
127,0.04,1,200,0.55,0.995604395604396,0.992957746478873
184,0.1,2,500,0.55,0.995604395604396,0.992957746478873
233,0.06,2,200,0.6,0.995604395604396,0.992957746478873
242,0.04,4,200,0.6,0.995604395604396,0.992957746478873
257,0.04,2,400,0.6,0.995604395604396,0.991951710261569
279,0.1,1,500,0.6,0.995604395604396,0.992957746478873
282,0.04,2,500,0.6,0.995604395604396,0.992957746478873
324,0.1,5,100,0.65,0.995604395604396,0.992957746478873
330,0.14,1,200,0.65,0.995604395604396,0.992957746478873
336,0.01,3,200,0.65,0.995604395604396,0.992957746478873
344,0.1,4,200,0.65,0.995604395604396,0.991951710261569
376,0.01,1,500,0.65,0.995604395604396,0.992957746478873
377,0.04,1,500,0.65,0.995604395604396,0.991951710261569
