"id","learning_rate","num_hidden","num_neurons","dropout_hidden","pccc","pccc_validate"
55,0.14,1,400,0.5,0.844387755102041,0.860858257477243
193,0.06,4,500,0.55,0.843112244897959,0.849154746423927
247,0.04,5,200,0.6,0.843112244897959,0.847854356306892
330,0.14,1,200,0.65,0.843112244897959,0.858257477243173
621,0.01,5,100,0.8,0.843112244897959,0.847854356306892
827,0.04,1,200,0.9,0.843112244897959,0.853055916775032
892,0.04,4,500,0.9,0.843112244897959,0.845253576072822
955,0.14,1,400,0.95,0.843112244897959,0.849154746423927
10,0.14,2,100,0.5,0.841836734693878,0.856957087126138
29,0.1,1,200,0.5,0.841836734693878,0.856957087126138
85,0.14,2,500,0.5,0.841836734693878,0.850455136540962
107,0.04,2,100,0.55,0.841836734693878,0.851755526657997
108,0.06,2,100,0.55,0.841836734693878,0.850455136540962
171,0.01,5,400,0.55,0.841836734693878,0.851755526657997
203,0.06,1,100,0.6,0.841836734693878,0.849154746423927
266,0.01,4,400,0.6,0.841836734693878,0.845253576072822
277,0.04,1,500,0.6,0.841836734693878,0.853055916775032
294,0.1,4,500,0.6,0.841836734693878,0.854356306892068
303,0.06,1,100,0.65,0.841836734693878,0.851755526657997
380,0.14,1,500,0.65,0.841836734693878,0.855656697009103
429,0.1,1,200,0.7,0.841836734693878,0.854356306892068
469,0.1,4,400,0.7,0.841836734693878,0.851755526657997
519,0.1,4,100,0.75,0.841836734693878,0.850455136540962
635,0.14,2,200,0.8,0.841836734693878,0.850455136540962
749,0.1,5,200,0.85,0.841836734693878,0.854356306892068
756,0.01,2,400,0.85,0.841836734693878,0.853055916775032
778,0.06,1,500,0.85,0.841836734693878,0.851755526657997
905,0.14,1,100,0.95,0.841836734693878,0.850455136540962
906,0.01,2,100,0.95,0.841836734693878,0.851755526657997
967,0.04,4,400,0.95,0.841836734693878,0.851755526657997
35,0.14,2,200,0.5,0.840561224489796,0.853055916775032
48,0.06,5,200,0.5,0.840561224489796,0.855656697009103
53,0.06,1,400,0.5,0.840561224489796,0.850455136540962
63,0.06,3,400,0.5,0.840561224489796,0.846553966189857
77,0.04,1,500,0.5,0.840561224489796,0.855656697009103
84,0.1,2,500,0.5,0.840561224489796,0.842652795838752
111,0.01,3,100,0.55,0.840561224489796,0.853055916775032
152,0.04,1,400,0.55,0.840561224489796,0.847854356306892
158,0.06,2,400,0.55,0.840561224489796,0.846553966189857
163,0.06,3,400,0.55,0.840561224489796,0.843953185955787
182,0.04,2,500,0.55,0.840561224489796,0.849154746423927
219,0.1,4,100,0.6,0.840561224489796,0.851755526657997
230,0.14,1,200,0.6,0.840561224489796,0.858257477243173
422,0.04,5,100,0.7,0.840561224489796,0.854356306892068
442,0.04,4,200,0.7,0.840561224489796,0.854356306892068
474,0.1,5,400,0.7,0.840561224489796,0.847854356306892
478,0.06,1,500,0.7,0.840561224489796,0.851755526657997
502,0.04,1,100,0.75,0.840561224489796,0.849154746423927
596,0.01,5,500,0.75,0.840561224489796,0.850455136540962
606,0.01,2,100,0.8,0.840561224489796,0.847854356306892
675,0.14,5,400,0.8,0.840561224489796,0.851755526657997
709,0.1,2,100,0.85,0.840561224489796,0.851755526657997
887,0.04,3,500,0.9,0.840561224489796,0.846553966189857
898,0.06,5,500,0.9,0.840561224489796,0.847854356306892
83,0.06,2,500,0.5,0.839285714285714,0.847854356306892
123,0.06,5,100,0.55,0.839285714285714,0.845253576072822
132,0.04,2,200,0.55,0.839285714285714,0.840052015604681
254,0.1,1,400,0.6,0.839285714285714,0.854356306892068
262,0.04,3,400,0.6,0.839285714285714,0.845253576072822
298,0.06,5,500,0.6,0.839285714285714,0.849154746423927
328,0.06,1,200,0.65,0.839285714285714,0.858257477243173
467,0.04,4,400,0.7,0.839285714285714,0.845253576072822
479,0.1,1,500,0.7,0.839285714285714,0.851755526657997
553,0.06,1,400,0.75,0.839285714285714,0.854356306892068
648,0.06,5,200,0.8,0.839285714285714,0.842652795838752
664,0.1,3,400,0.8,0.839285714285714,0.842652795838752
672,0.04,5,400,0.8,0.839285714285714,0.843953185955787
684,0.1,2,500,0.8,0.839285714285714,0.847854356306892
696,0.01,5,500,0.8,0.839285714285714,0.841352405721717
929,0.1,1,200,0.95,0.839285714285714,0.850455136540962
974,0.1,5,400,0.95,0.839285714285714,0.853055916775032
977,0.04,1,500,0.95,0.839285714285714,0.845253576072822
978,0.06,1,500,0.95,0.839285714285714,0.847854356306892
980,0.14,1,500,0.95,0.839285714285714,0.854356306892068
130,0.14,1,200,0.55,0.838010204081633,0.854356306892068
351,0.01,1,400,0.65,0.838010204081633,0.853055916775032
540,0.14,3,200,0.75,0.838010204081633,0.849154746423927
657,0.04,2,400,0.8,0.838010204081633,0.845253576072822
679,0.1,1,500,0.8,0.838010204081633,0.846553966189857
750,0.14,5,200,0.85,0.838010204081633,0.846553966189857
850,0.14,5,200,0.9,0.838010204081633,0.841352405721717
215,0.14,3,100,0.6,0.836734693877551,0.851755526657997
349,0.1,5,200,0.65,0.836734693877551,0.842652795838752
451,0.01,1,400,0.7,0.836734693877551,0.840052015604681
658,0.06,2,400,0.8,0.836734693877551,0.846553966189857
774,0.1,5,400,0.85,0.836734693877551,0.845253576072822
834,0.1,2,200,0.9,0.836734693877551,0.849154746423927
908,0.06,2,100,0.95,0.836734693877551,0.847854356306892
914,0.1,3,100,0.95,0.836734693877551,0.850455136540962
986,0.01,3,500,0.95,0.836734693877551,0.849154746423927
989,0.1,3,500,0.95,0.836734693877551,0.851755526657997
104,0.1,1,100,0.55,0.835459183673469,0.853055916775032
129,0.1,1,200,0.55,0.835459183673469,0.850455136540962
134,0.1,2,200,0.55,0.835459183673469,0.849154746423927
155,0.14,1,400,0.55,0.835459183673469,0.851755526657997
175,0.14,5,400,0.55,0.835459183673469,0.849154746423927
273,0.06,5,400,0.6,0.835459183673469,0.842652795838752
379,0.1,1,500,0.65,0.835459183673469,0.853055916775032
554,0.1,1,400,0.75,0.835459183673469,0.853055916775032
593,0.06,4,500,0.75,0.835459183673469,0.840052015604681
714,0.1,3,100,0.85,0.835459183673469,0.840052015604681
806,0.01,2,100,0.9,0.835459183673469,0.847854356306892
876,0.01,1,500,0.9,0.835459183673469,0.838751625487646
180,0.14,1,500,0.55,0.834183673469388,0.855656697009103
251,0.01,1,400,0.6,0.834183673469388,0.854356306892068
290,0.14,3,500,0.6,0.834183673469388,0.840052015604681
418,0.06,4,100,0.7,0.834183673469388,0.846553966189857
773,0.06,5,400,0.85,0.834183673469388,0.851755526657997
799,0.1,5,500,0.85,0.834183673469388,0.837451235370611
845,0.14,4,200,0.9,0.834183673469388,0.838751625487646
179,0.1,1,500,0.55,0.832908163265306,0.851755526657997
218,0.06,4,100,0.6,0.832908163265306,0.843953185955787
317,0.04,4,100,0.65,0.832908163265306,0.814044213263979
343,0.06,4,200,0.65,0.832908163265306,0.838751625487646
369,0.1,4,400,0.65,0.832908163265306,0.838751625487646
375,0.14,5,400,0.65,0.832908163265306,0.847854356306892
406,0.01,2,100,0.7,0.832908163265306,0.850455136540962
694,0.1,4,500,0.8,0.832908163265306,0.834850455136541
784,0.1,2,500,0.85,0.832908163265306,0.849154746423927
796,0.01,5,500,0.85,0.832908163265306,0.833550065019506
329,0.1,1,200,0.65,0.831632653061224,0.850455136540962
742,0.04,4,200,0.85,0.831632653061224,0.828348504551365
52,0.04,1,400,0.5,0.830357142857143,0.849154746423927
228,0.06,1,200,0.6,0.830357142857143,0.846553966189857
355,0.14,1,400,0.65,0.830357142857143,0.851755526657997
529,0.1,1,200,0.75,0.830357142857143,0.841352405721717
591,0.01,4,500,0.75,0.830357142857143,0.838751625487646
605,0.14,1,100,0.8,0.830357142857143,0.847854356306892
607,0.04,2,100,0.8,0.830357142857143,0.81924577373212
617,0.04,4,100,0.8,0.830357142857143,0.837451235370611
653,0.06,1,400,0.8,0.830357142857143,0.847854356306892
719,0.1,4,100,0.85,0.830357142857143,0.836150845253576
851,0.01,1,400,0.9,0.830357142857143,0.836150845253576
880,0.14,1,500,0.9,0.830357142857143,0.843953185955787
46,0.01,5,200,0.5,0.829081632653061,0.830949284785436
233,0.06,2,200,0.6,0.829081632653061,0.829648894668401
613,0.06,3,100,0.8,0.829081632653061,0.825747724317295
786,0.01,3,500,0.85,0.829081632653061,0.840052015604681
